OmegaLw,OmegaRw,X_GPS,Y_GPS,Theta_GPS,Theta_Mag,V_GPS,Omega_Gyro
2.0846428571,1.9305357143,559906.58319,6319413.2455,5.611005,5.611005,0.127571,-0.022515
2.0846428571,1.9305357143,559906.58319,6319413.2455,5.611143,5.611143,0.127571,-0.018151
2.6517857143,2.4867857143,559906.64391,6319413.2464,5.611143,5.611143,0.252056,-0.032114
2.6517857143,2.4867857143,559906.64391,6319413.2464,5.611143,5.611143,0.252056,-0.042761
2.6517857143,2.4867857143,559906.64391,6319413.2464,5.611143,5.611143,0.252056,-0.045902
2.6517857143,2.4867857143,559906.64391,6319413.2464,5.610937,5.610937,0.323558,-0.041713
2.6517857143,2.4867857143,559906.64391,6319413.2464,5.610937,5.610937,0.323558,-0.041713
2.6517857143,2.4867857143,559906.64391,6319413.2464,5.610937,5.610937,0.323558,-0.033161
3.2217857143,2.82625,559906.64391,6319413.2464,5.614411,5.614411,0.323558,-0.027751
3.2217857143,3.1691071429,559906.70463,6319413.2473,5.614411,5.614411,0.469647,-0.026704
3.2217857143,3.1691071429,559906.70463,6319413.2473,5.614411,5.614411,0.469647,-0.026704
3.2217857143,3.1691071429,559906.70463,6319413.2473,5.614411,5.614411,0.469647,-0.024609
3.2217857143,3.1691071429,559906.76536,6319413.2482,5.614411,5.614411,0.541149,-0.023562
3.2217857143,3.1691071429,559906.76536,6319413.2482,5.619565,5.619565,0.541149,-0.018151
3.2217857143,3.1691071429,559906.76536,6319413.2482,5.619565,5.619565,0.541149,-0.035256
4.0655357143,3.53375,559906.76536,6319413.2482,5.619565,5.619565,0.541149,-0.038397
4.0655357143,3.8732142857,559906.76536,6319413.2482,5.619565,5.619565,0.64763,-0.03002
4.0655357143,3.8732142857,559906.76536,6319413.2482,5.619565,5.619565,0.64763,-0.036303
4.0655357143,3.8732142857,559906.82768,6319413.1377,5.622731,5.622731,0.756168,-0.025656
4.0655357143,3.8732142857,559906.82768,6319413.1377,5.622731,5.622731,0.756168,-0.036303
4.0655357143,3.8732142857,559906.82768,6319413.1377,5.622731,5.622731,0.756168,-0.028972
4.2519642857,4.0666071429,559906.89001,6319413.0273,5.631644,5.631644,0.952669,-0.021468
4.2519642857,4.0666071429,559906.89001,6319413.0273,5.631644,5.631644,0.952669,-0.018151
4.2519642857,4.0666071429,559906.89001,6319413.0273,5.631644,5.631644,0.952669,0.005236
4.2519642857,4.0666071429,559906.89001,6319413.0273,5.631644,5.631644,0.952669,-0.001222
4.2519642857,4.0666071429,559906.89001,6319413.0273,5.644604,5.644604,0.952669,-0.006458
4.2519642857,4.0666071429,559906.89001,6319413.0273,5.644604,5.644604,1.055034,-0.005411
4.2519642857,4.0666071429,559906.89001,6319413.0273,5.644604,5.644604,1.055034,0.005236
4.2519642857,4.0666071429,559906.89001,6319413.0273,5.644604,5.644604,1.055034,-0.000175
3.8925,3.8023214286,559907.00824,6319413.2517,5.644604,5.644604,1.12345,0.00192
3.8925,3.8023214286,559907.00824,6319413.2517,5.647386,5.647386,1.12345,-0.005411
3.8925,3.8023214286,559907.00824,6319413.2517,5.647386,5.647386,1.12345,-0.006458
3.8925,3.8023214286,559907.00824,6319413.2517,5.647386,5.647386,1.12345,-0.000175
3.8925,3.8023214286,559907.07057,6319413.1412,5.647386,5.647386,1.205754,0.000873
3.8925,3.8023214286,559907.07057,6319413.1412,5.661372,5.661372,1.205754,0.003142
3.83875,3.9132142857,559907.07218,6319413.0299,5.661372,5.661372,1.300403,-0.003316
3.83875,3.9132142857,559907.07218,6319413.0299,5.661372,5.661372,1.300403,0.003142
3.83875,3.9132142857,559907.07218,6319413.0299,5.667764,5.667764,1.300403,-0.004363
3.83875,3.9132142857,559907.07218,6319413.0299,5.667764,5.667764,1.300403,0.006283
3.83875,3.9132142857,559907.07218,6319413.0299,5.667764,5.667764,1.300403,-0.002269
3.83875,3.9132142857,559907.1329,6319413.0308,5.667764,5.667764,1.316864,0.000873
3.83875,3.9132142857,559907.1329,6319413.0308,5.667764,5.667764,1.316864,0.000873
3.83875,3.9132142857,559907.1329,6319413.0308,5.667764,5.667764,1.316864,-0.004363
5.0125,4.9110714286,559907.19362,6319413.0317,5.682177,5.682177,1.216556,0.00192
5.0125,4.9110714286,559907.19362,6319413.0317,5.682177,5.682177,1.216556,-0.008727
5.0125,4.9110714286,559907.19362,6319413.0317,5.682177,5.682177,1.216556,-0.004363
5.0125,4.9110714286,559907.25434,6319413.0326,5.682177,5.682177,1.271597,-0.011868
5.0125,4.9110714286,559907.25434,6319413.0326,5.697735,5.697735,1.271597,-0.010821
5.0125,4.9110714286,559907.25434,6319413.0326,5.697735,5.697735,1.271597,-0.017104
5.7975,5.3371428571,559907.25434,6319413.0326,5.697735,5.697735,1.271597,-0.013963
5.7975,5.8405357143,559907.31667,6319412.9221,5.697735,5.697735,1.398139,-0.012915
5.7975,5.8405357143,559907.31667,6319412.9221,5.697735,5.697735,1.398139,-0.011868
5.7975,5.8405357143,559907.31667,6319412.9221,5.704231,5.704231,1.398139,-0.010821
5.7975,5.8405357143,559907.37739,6319412.923,5.704231,5.704231,1.492789,-0.001222
5.7975,5.8405357143,559907.37739,6319412.923,5.704231,5.704231,1.492789,0.000873
6.3425,6.0955357143,559907.37739,6319412.923,5.706706,5.706706,1.492789,-0.002269
6.3425,6.3082142857,559907.49883,6319412.9248,5.706706,5.706706,1.645051,-0.004363
6.3425,6.3082142857,559907.49883,6319412.9248,5.706706,5.706706,1.645051,-0.001222
6.3425,6.3082142857,559907.49883,6319412.9248,5.706706,5.706706,1.645051,0.009425
6.3425,6.3082142857,559907.55955,6319412.9256,5.707409,5.707409,1.717582,-0.001222
6.3425,6.3082142857,559907.55955,6319412.9256,5.707409,5.707409,1.717582,0.00192
6.3425,6.3082142857,559907.55955,6319412.9256,5.707409,5.707409,1.717582,0.00733
6.9575,6.6321428571,559907.55955,6319412.9256,5.718973,5.718973,1.717582,0.000873
6.9575,6.90375,559907.62027,6319412.9265,5.718973,5.718973,1.77931,-0.001222
6.9575,6.90375,559907.62027,6319412.9265,5.718973,5.718973,1.77931,0.012741
6.9575,6.90375,559907.74332,6319412.817,5.718973,5.718973,1.853898,0.010472
6.9575,6.90375,559907.74332,6319412.817,5.730967,5.730967,1.853898,0.011519
6.9575,6.90375,559907.74332,6319412.817,5.730967,5.730967,1.853898,0.006283
7.4008928571,7.50875,559907.80083,6319413.0405,5.730967,5.730967,1.880646,-0.001222
7.4008928571,7.50875,559907.80083,6319413.0405,5.736007,5.736007,1.880646,-0.007505
7.4008928571,7.50875,559907.80083,6319413.0405,5.736007,5.736007,1.880646,-0.000175
7.4008928571,7.50875,559907.80083,6319413.0405,5.736007,5.736007,1.880646,-0.002269
7.4008928571,7.50875,559907.92227,6319413.0422,5.736007,5.736007,1.966037,0.003142
7.4008928571,7.50875,559907.92227,6319413.0422,5.744434,5.744434,1.966037,0.00192
7.4008928571,7.50875,559907.92227,6319413.0422,5.744434,5.744434,1.966037,0.005236
7.8635714286,7.9408928571,559907.92227,6319413.0422,5.744434,5.744434,0,0.006283
7.8635714286,7.9408928571,559907.92227,6319413.0422,5.744434,5.744434,0,-0.001222
7.8635714286,7.9408928571,559907.92227,6319413.0422,5.757271,5.757271,0,0.000873
7.8635714286,7.9408928571,559907.92227,6319413.0422,5.757271,5.757271,0,0.003142
7.8635714286,7.9408928571,559907.92227,6319413.0422,5.757271,5.757271,0,-0.011868
7.8635714286,7.9408928571,559907.92227,6319413.0422,5.757271,5.757271,0,-0.011868
7.8635714286,7.9408928571,559907.92227,6319413.0422,5.757271,5.757271,0,-0.000175
8.2008928571,8.1058928571,559907.86798,6319412.5961,5.757271,5.757271,0,-0.018151
8.2008928571,8.1058928571,559907.86798,6319412.5961,5.762414,5.762414,0,-0.012915
8.2008928571,8.1058928571,559907.92388,6319412.9309,5.762414,5.762414,0,-0.008727
8.2008928571,8.1058928571,559907.92388,6319412.9309,5.770535,5.770535,0,0.003142
8.2008928571,8.1058928571,559907.92388,6319412.9309,5.770535,5.770535,0,-0.006458
8.2298214286,8.1396428571,559907.92388,6319412.9309,5.770535,5.770535,0,0.008378
8.2298214286,8.1810714286,559907.92709,6319412.7083,5.770535,5.770535,0,-0.007505
8.2298214286,8.1810714286,559907.92709,6319412.7083,5.770535,5.770535,0,0.011519
8.2298214286,8.1810714286,559907.92709,6319412.7083,5.773171,5.773171,0,-0.006458
8.2298214286,8.1810714286,559907.92709,6319412.7083,5.773171,5.773171,0,-0.007505
8.2298214286,8.1810714286,559907.92709,6319412.7083,5.773171,5.773171,0,0.00733
8.2298214286,8.1810714286,559912.97313,6319450.1888,5.773171,5.773171,0,-0.008727
8.2298214286,8.1810714286,559912.97313,6319450.1888,5.773171,5.773171,0,0.008378
8.2298214286,8.1810714286,559912.97313,6319450.1888,5.779695,5.779695,0,-0.001222
8.1316071429,8.1810714286,559912.97313,6319450.1888,5.779695,5.779695,0,0.009425
8.1316071429,8.1332142857,559907.86476,6319412.8187,5.779695,5.779695,0,-0.005411
8.1316071429,8.1332142857,559907.86476,6319412.8187,5.779695,5.779695,0,0.010472
8.1316071429,8.1332142857,559907.86476,6319412.8187,5.779695,5.779695,0,0.012741
8.1316071429,8.1332142857,559907.86476,6319412.8187,5.786323,5.786323,0,0.022166
8.1316071429,8.1332142857,559907.86476,6319412.8187,5.786323,5.786323,0,-0.008727
8.1316071429,8.1332142857,559907.86476,6319412.8187,5.786323,5.786323,0,0.009425
8.1316071429,8.1332142857,559907.86476,6319412.8187,5.786323,5.786323,0,-0.007505
7.5725,8.1332142857,559907.86476,6319412.8187,5.78877,5.78877,0,0.008378
7.5725,7.4278571429,559907.88084,6319411.7056,5.78877,5.78877,0,-0.011868
7.5725,7.4278571429,559907.88084,6319411.7056,5.78877,5.78877,0,0.000873
7.5725,7.4278571429,559907.88084,6319411.7056,5.78877,5.78877,0,-0.013963
7.5725,7.4278571429,559907.92388,6319412.9309,5.78877,5.78877,0,-0.011868
7.5725,7.4278571429,559907.92388,6319412.9309,5.791524,5.791524,0,-0.001222
7.5725,7.4278571429,559907.92388,6319412.9309,5.791524,5.791524,0,-0.008727
6.9730357143,7.0292857143,559909.13186,6319413.3937,5.791524,5.791524,2.234039,0.003142
