Measurement from:2019-10-16 12:40:02

Timestamp;CANID;Data [P]
430438.825372;916;134153[ P]
430438.825841;915;144710[ P]
430438.921925;913;124598[ P]
430438.925083;914;117871[ P]
430438.926149;916;115227[ P]
430438.926875;915;125630[ P]
430439.023086;913;111127[ P]
430439.025988;914;104955[ P]
430439.026969;916;101649[ P]
430439.027865;915;112167[ P]
430439.123778;913;105472[ P]
430439.126765;914;99188[ P]
430439.127831;916;96115[ P]
430439.128642;915;106682[ P]
430439.224939;913;104374[ P]
430439.227883;914;98282[ P]
430439.22912;916;95309[ P]
430439.229846;915;105848[ P]
430439.325674;913;104764[ P]
430439.328788;914;98618[ P]
430439.330751;915;106287[ P]
430439.331263;916;95715[ P]
430439.426707;913;104824[ P]
430439.429864;914;98682[ P]
430439.431613;915;106326[ P]
430439.431912;916;95773[ P]
430439.527751;913;104712[ P]
430439.530653;914;98566[ P]
430439.532658;915;106216[ P]
430439.532871;916;95660[ P]
430439.628614;913;104721[ P]
430439.6316;914;98575[ P]
430439.633478;915;106224[ P]
430439.634032;916;95670[ P]
430439.72969;913;104719[ P]
430439.732548;914;98574[ P]
430439.734511;915;106223[ P]
430439.734852;916;95670[ P]
430439.830381;913;104720[ P]
430439.833325;914;98575[ P]
430439.835373;915;106224[ P]
430439.835544;916;95670[ P]
430439.931457;913;104720[ P]
430439.936833;914;98574[ P]
430439.937473;915;106223[ P]
430439.937814;916;95670[ P]
430440.034368;913;104720[ P]
430440.038463;914;98574[ P]
430440.042559;915;106223[ P]
430440.043157;916;95670[ P]
430440.135785;913;104720[ P]
430440.140179;914;98574[ P]
430440.143166;915;106223[ P]
430440.14419;916;95670[ P]
430440.236306;913;104720[ P]
430440.241042;914;98574[ P]
430440.244498;915;106223[ P]
430440.245095;916;95670[ P]
430440.33704;913;104720[ P]
430440.342075;914;98574[ P]
430440.345061;915;106223[ P]
430440.346213;916;95670[ P]
430440.438201;913;104720[ P]
430440.443065;914;98574[ P]
430440.446265;915;106223[ P]
430440.447289;916;95670[ P]
